LncRNA,Environmental factors,P value (FDR correction)
RP4-717I23.3,5-fluorouracil (5-FU),0.0157 
RP11-618G20.1,17beta-estradiol (E(2)),0.0158 
AC005076.5,Estradiol (E2),0.0158 
AC007246.3,Estradiol (E2),0.0158 
CROCCP2,Ara-C,0.0158 
CROCCP2,cisplatin (CDDP),0.0158 
CROCCP2,daunorubicin,0.0158 
CROCCP2,Mycobacterium leprae,0.0158 
CROCCP2,thapsigargin-induced intracellular Ca(),0.0158 
CROCCP2,vincristine (VCR),0.0158 
CTC-444N24.8,aminoglycoside,0.0158 
CTD-2196E14.9,Estradiol (E2),0.0158 
CTD-3138B18.5,letrozole,0.0158 
EPHA1-AS1,Estradiol (E2),0.0158 
LINC00313,3-nitropropionic acid (3-NPA),0.0158 
LINC00313,Cyclic mechanical stress (CMS),0.0158 
LINC00313,deoxycholic acid,0.0158 
LINC00313,gamma-irradiation and genotoxic drugs,0.0158 
LINC00313,methotrexate (MTX),0.0158 
LINC00313,pacitaxel,0.0158 
RECQL4,Cyclic mechanical stress (CMS),0.0158 
RECQL4,gamma-irradiation and genotoxic drugs,0.0158 
RECQL4,methotrexate (MTX),0.0158 
RP1-102H19.6,Estradiol (E2),0.0158 
RP11-102F4.3,CagA,0.0158 
RP11-425M5.5,Estradiol (E2),0.0158 
RP11-429D19.1,CagA,0.0158 
RP11-443N24.2,Estradiol (E2),0.0158 
RP11-552M11.4,aminoglycoside,0.0158 
RP11-552M11.4,fulvestrant,0.0158 
RP11-640M9.1,Estradiol (E2),0.0158 
TTN-AS1,"Arsenic trioxide (As(2)O(3), ATO)",0.0158 
TTN-AS1,As2O3,0.0158 
TTN-AS1,Polycyclic aromatic hydrocarbons,0.0158 
XXbac-BPG32J3.20,"Arsenic trioxide (As(2)O(3), ATO)",0.0158 
XXbac-BPG32J3.20,Polycyclic aromatic hydrocarbons,0.0158 
RP11-66N24.3,tobacco,0.0159 
MAP3K14,sulindac sulfide,0.0160 
PTCHD3P1,gemcitabine,0.0161 
RP11-303E16.2,gemcitabine,0.0161 
RP11-480D4.3,gemcitabine,0.0161 
C14orf169,Estradiol (E2),0.0161 
SETD5-AS1,Polyunsaturated fatty acids (PUFAs),0.0161 
AC005082.12,medroxyprogesterone acetate (MPA),0.0161 
AC007228.9,swine influenza virus (SIV),0.0161 
AC009299.3,5-fluorouracil-based antimetabolite S-1,0.0161 
AC009299.3,Doxifluridine,0.0161 
AC009299.3,Oxaliplatin,0.0161 
AP001065.2,nicotine,0.0161 
AP001065.2,vincristine,0.0161 
CTD-2020K17.1,cytomegalovirus,0.0161 
CTD-2020K17.1,hepatitis B virus (HBV),0.0161 
CTD-2020K17.1,nutlin-3a,0.0161 
CTD-2020K17.1,Oltipraz,0.0161 
MATN1-AS1,hydroxycamptothecin (HCPT),0.0161 
RP11-125K10.4,nicotine,0.0161 
RP11-203J24.9,hepatitis B virus (HBV),0.0161 
RP11-203J24.9,Oltipraz,0.0161 
RP11-282K24.3,nicotine,0.0161 
RP11-429J17.7,hydroxycamptothecin (HCPT),0.0161 
RP11-453E17.1,nicotine,0.0161 
RP11-477D19.2,nicotine,0.0161 
RP11-53I6.2,vincristine,0.0161 
RP11-540O11.1,nicotine,0.0161 
RP1-265C24.9,5-fluorouracil-based antimetabolite S-1,0.0161 
RP1-265C24.9,Doxifluridine,0.0161 
RP1-265C24.9,Oxaliplatin,0.0161 
RP3-523K23.2,swine influenza virus (SIV),0.0161 
ZNF883,5-fluorouracil-based antimetabolite S-1,0.0161 
ZNF883,Doxifluridine,0.0161 
ZNF883,Oxaliplatin,0.0161 
LINC00339,hypoxia,0.0161 
AC005562.1,anabolic stimulus,0.0161 
HCP5,progestin,0.0161 
LINC00511,drug,0.0163 
RP11-390P2.4,drug,0.0163 
RP11-390P2.4,heat stress,0.0163 
RP11-464F9.1,drug,0.0163 
SCGB1B2P,drug,0.0163 
TBC1D3P1-DHX40P1,heat stress,0.0163 
AC141846.4,Imatinib,0.0163 
RP11-119F19.2,Imatinib,0.0163 
RP11-436A20.4,Imatinib,0.0163 
RP11-923I11.1,H2O2,0.0163 
RP11-77H9.2,5-aza-2'-deoxycytidine ,0.0164 
LINC00665,hydroxycamptothecin (HCPT),0.0165 
RP1-265C24.9,exercise,0.0165 
RP11-379K17.11,irradiation,0.0167 
CTD-2314B22.3,resistance exercise,0.0167 
CTD-2314B22.3,Trastuzumab,0.0167 
CTD-3185P2.2,iron- and aluminum-sulfate,0.0167 
CTD-3185P2.2,the combination carboplatin/cisplatin with paclitaxel,0.0167 
DLGAP1-AS1,resistance exercise,0.0167 
DLGAP1-AS1,Trastuzumab,0.0167 
RP11-132A1.3,iron- and aluminum-sulfate,0.0167 
RP11-132A1.3,the combination carboplatin/cisplatin with paclitaxel,0.0167 
RP11-151N17.2,iron- and aluminum-sulfate,0.0167 
RP11-276H19.2,resistance exercise,0.0167 
RP11-276H19.2,Trastuzumab,0.0167 
RP11-473M20.16,opioids (morphine and heroin),0.0167 
RP5-1043L13.1,iron- and aluminum-sulfate,0.0167 
SNHG6,resistance exercise,0.0167 
SNHG6,Trastuzumab,0.0167 
SPTY2D1-AS1,opioids (morphine and heroin),0.0167 
RP11-311C24.1,gefitinib,0.0167 
TTN-AS1,curcumin,0.0168 
XXbac-BPG32J3.20,curcumin,0.0168 
EPB41L4A-AS1,tobacco,0.0168 
POLDIP2,tobacco,0.0168 
RP11-311C24.1,Polyunsaturated fatty acids (PUFAs),0.0168 
SENP3-EIF4A1,fludarabine,0.0168 
RP11-1103G16.1,Arsenic trioxide,0.0168 
INTS6-AS1,Arsenic trioxide,0.0168 
LL22NC03-N27C7.1,irradiation,0.0168 
RP11-415J8.7,Arsenic trioxide,0.0168 
RP11-77H9.2,Arsenic trioxide,0.0168 
AC074117.10,Retinoic Acid,0.0169 
RP11-467L20.9,HIV,0.0169 
RP11-618G20.1,HIV,0.0169 
RP11-96D1.10,sulindac sulfide,0.0169 
RP5-837J1.2,HIV,0.0169 
MAL2,Estradiol (E2),0.0169 
AF011889.4,hydroxycamptothecin (HCPT),0.0169 
GS1-124K5.11,17beta-estradiol (E(2)),0.0169 
RP11-18I14.10,paclitaxel,0.0169 
RP11-449D8.1,paclitaxel,0.0169 
TMPO-AS1,hydroxycamptothecin (HCPT),0.0169 
AC005083.1,CagA,0.0169 
AC084018.1,genotoxic stress,0.0169 
AC092535.3, 5-Aza,0.0169 
AC092535.3,Camptothecin (CPT),0.0169 
AC092535.3,interleukin-6 (IL-6),0.0169 
C14orf169,"Arsenic trioxide (As(2)O(3), ATO)",0.0169 
C14orf169,Polycyclic aromatic hydrocarbons,0.0169 
ERVK3-1,aminoglycoside,0.0169 
RP11-1103G16.1,"Arsenic trioxide (As(2)O(3), ATO)",0.0169 
RP11-1103G16.1,letrozole,0.0169 
RP11-1103G16.1,Polycyclic aromatic hydrocarbons,0.0169 
RP11-282O18.6,letrozole,0.0169 
RP11-54O7.1,aminoglycoside,0.0169 
RP11-54O7.1,"Arsenic trioxide (As(2)O(3), ATO)",0.0169 
RP11-54O7.1,phenylbutyric acid (PBA),0.0169 
RP11-54O7.1,Polycyclic aromatic hydrocarbons,0.0169 
RP5-1024G6.5,CagA,0.0169 
RP5-1172N10.3,"Arsenic trioxide (As(2)O(3), ATO)",0.0169 
RP5-1172N10.3,Polycyclic aromatic hydrocarbons,0.0169 
CCAT1,hepatitis C virus (HCV),0.0169 
CTD-2516F10.2,cigarette smoke (CS),0.0169 
CTD-2516F10.2,UV irradiation,0.0169 
LL22NC03-N27C7.1,cigarette smoke (CS),0.0169 
LL22NC03-N27C7.1,UV irradiation,0.0169 
PDXDC2P,cigarette smoke (CS),0.0169 
PDXDC2P,UV irradiation,0.0169 
RP11-403I13.8,H2O2,0.0169 
RP11-46A10.5,Calcitonin gene-related peptide,0.0169 
RP11-46A10.5,Insulin,0.0169 
RP11-549J18.1,cigarette smoke (CS),0.0169 
RP11-549J18.1,UV irradiation,0.0169 
RP11-697M17.1,cigarette smoke (CS),0.0169 
RP11-697M17.1,UV irradiation,0.0169 
RP11-77H9.2,vincristine and daunorubicin,0.0169 
RP11-78O7.2,E2?182780,0.0169 
RP11-78O7.2,ICI-182780 (Fulvestrant),0.0169 
RP11-78O7.2,MPA486,0.0169 
RP11-78O7.2,RU486 (Mifepristone),0.0169 
RP5-1028K7.2,cigarette smoke (CS),0.0169 
RP5-1028K7.2,UV irradiation,0.0169 
YLPM1,cigarette smoke (CS),0.0169 
YLPM1,UV irradiation,0.0169 
RP11-29G8.3,tobacco,0.0170 
RP11-216F19.2,Imatinib,0.0171 
RP13-507I23.1,curcumin,0.0171 
RP11-66D17.5,"1, 3, 4-tri-O-galloyl-6-O-caffeoyl-r-D-glucopyranose (BJA32515)",0.0172 
SNHG1,drug,0.0172 
RP11-492E3.1,"1, 3, 4-tri-O-galloyl-6-O-caffeoyl-r-D-glucopyranose (BJA32515)",0.0173 
RP6-24A23.7,iron- and aluminum-sulfate,0.0173 
RP11-473I1.10,adriamycin,0.0173 
SENP3-EIF4A1,Retinoic Acid,0.0173 
CWC15,anabolic stimulus,0.0173 
MIR155HG,HIV,0.0175 
MIR155HG,Human T-lymphotropic virus type 1 (HTLV-1),0.0175 
RP11-103J17.2,folate,0.0175 
RP11-1103G16.1,ionizing radiation,0.0175 
AC005307.3,4-HPR and EGCG,0.0175 
AC005307.3,Benzo(a)pyrene (BaP),0.0175 
RP3-341D10.4,4-HPR and EGCG,0.0175 
RP3-341D10.4,Benzo(a)pyrene (BaP),0.0175 
RP11-1134I14.8,doxorubicin (Dox),0.0175 
RP11-1134I14.8,metformin,0.0175 
RP11-996F15.2,H2O2,0.0175 
RP4-773N10.5,hypoxia,0.0176 
ZNF718,paclitaxel,0.0177 
CTB-25J19.9,docetaxel,0.0177 
PTCHD3P1,doxorubicin (Dox),0.0177 
RP11-492E3.1,metformin,0.0177 
LINC00662,H2O2,0.0178 
CTC-273B12.8,"1, 3, 4-tri-O-galloyl-6-O-caffeoyl-r-D-glucopyranose (BJA32515)",0.0178 
AC000120.7,Lead,0.0178 
CTC-459F4.3,cytomegalovirus,0.0178 
CTC-459F4.3,hepatitis B virus (HBV),0.0178 
CTC-459F4.3,Oltipraz,0.0178 
LINC00511,nicotine,0.0178 
LINC00610,medroxyprogesterone acetate (MPA),0.0178 
RP11-29G8.3,capecitabine,0.0178 
RP11-29G8.3,"metal (magnesium-, iron-, gallium, and aluminum)-sulfate",0.0178 
RP11-372K14.2,cytomegalovirus,0.0178 
RP11-372K14.2,hepatitis B virus (HBV),0.0178 
RP11-372K14.2,Oltipraz,0.0178 
RP11-390P2.4,nicotine,0.0178 
RP11-464F9.1,nicotine,0.0178 
RP11-65F13.2,swine influenza virus (SIV),0.0178 
RP11-738E22.2,medroxyprogesterone acetate (MPA),0.0178 
SCGB1B2P,nicotine,0.0178 
DHRS4-AS1,Cyclic mechanical stress (CMS),0.0178 
DHRS4-AS1,fulvestrant,0.0178 
DHRS4-AS1,gamma-irradiation and genotoxic drugs,0.0178 
DHRS4-AS1,methotrexate (MTX),0.0178 
DLX6-AS1,3-nitropropionic acid (3-NPA),0.0178 
DLX6-AS1,"Arsenic trioxide (As(2)O(3), ATO)",0.0178 
DLX6-AS1,deoxycholic acid,0.0178 
DLX6-AS1,pacitaxel,0.0178 
DLX6-AS1,Polycyclic aromatic hydrocarbons,0.0178 
FENDRR,"Arsenic trioxide (As(2)O(3), ATO)",0.0178 
FENDRR,Cyclic mechanical stress (CMS),0.0178 
FENDRR,gamma-irradiation and genotoxic drugs,0.0178 
FENDRR,methotrexate (MTX),0.0178 
FENDRR,Polycyclic aromatic hydrocarbons,0.0178 
HOXD-AS1,CagA,0.0178 
HOXD-AS1,glucocorticoid,0.0178 
MAGI1-IT1,CagA,0.0178 
RP11-140H17.1,3-nitropropionic acid (3-NPA),0.0178 
RP11-140H17.1,Cyclic mechanical stress (CMS),0.0178 
RP11-140H17.1,deoxycholic acid,0.0178 
RP11-140H17.1,gamma-irradiation and genotoxic drugs,0.0178 
RP11-140H17.1,"LPS, peptidoglycan, or polyinosinic-polycytidylic acid",0.0178 
RP11-140H17.1,methotrexate (MTX),0.0178 
RP11-140H17.1,pacitaxel,0.0178 
RP11-140H17.1,serum starvation and chemotherapeutic drug,0.0178 
RP11-226L15.5,CagA,0.0178 
RP11-399O19.8,CagA,0.0178 
RP11-399O19.8,Cyclic mechanical stress (CMS),0.0178 
RP11-399O19.8,gamma-irradiation and genotoxic drugs,0.0178 
RP11-399O19.8,methotrexate (MTX),0.0178 
RP11-815I9.4,Isoflavone,0.0178 
AC005540.3,"anti-benzo(a) pyrene-7,8-diol-9,10-epoxide",0.0178 
AC015849.16,Glucocorticoids,0.0178 
AC015849.16,nitric oxide ,0.0178 
AC016683.6,decitabine ,0.0178 
AC016683.6,decitabine and doxorubicin,0.0178 
AC058791.1,methotrexate and 5-fluorouracil (5-FU),0.0178 
AC069513.3,decitabine ,0.0178 
AC069513.3,decitabine and doxorubicin,0.0178 
AP000662.4,teniposide,0.0178 
COL4A2-AS2,teniposide,0.0178 
CTB-175P5.4,teniposide,0.0178 
CTD-2653M23.2,vitamin D,0.0178 
DGCR5,vitamin D,0.0178 
H1FX-AS1,teniposide,0.0178 
LINC00849,5-aza-2'-deoxycytidine/trichostatin A,0.0178 
RP11-14N7.2,Glucocorticoids,0.0178 
RP11-14N7.2,nitric oxide ,0.0178 
RP11-154J22.1,teniposide,0.0178 
RP11-159F24.1,teniposide,0.0178 
RP11-161M6.2,dioxin,0.0178 
RP11-221J22.1,Glucocorticoids,0.0178 
RP11-221J22.1,nitric oxide ,0.0178 
RP11-221J22.2,Glucocorticoids,0.0178 
RP11-221J22.2,nitric oxide ,0.0178 
RP11-24B19.4,Glucocorticoids,0.0178 
RP11-24B19.4,nitric oxide ,0.0178 
RP11-304M2.2,teniposide,0.0178 
RP11-315H15.2,teniposide,0.0178 
RP11-367N14.2,vitamin D,0.0178 
RP11-418J17.3,teniposide,0.0178 
RP11-499P20.2,5-aza-2'-deoxycytidine/trichostatin A,0.0178 
RP11-502I4.3,teniposide,0.0178 
RP11-571M6.18,bortezomib,0.0178 
RP11-571M6.18,d-galactosamine- and alcohol,0.0178 
RP11-571M6.18,diet,0.0178 
RP11-677M14.7,teniposide,0.0178 
RP11-95D17.1,Glucocorticoids,0.0178 
RP11-95D17.1,nitric oxide ,0.0178 
RP4-773N10.4,teniposide,0.0178 
RP4-798A10.2,Glucocorticoids,0.0178 
RP4-798A10.2,nitric oxide ,0.0178 
RP5-886K2.3,Glucocorticoids,0.0178 
RP5-886K2.3,nitric oxide ,0.0178 
SNHG8,"anti-benzo(a) pyrene-7,8-diol-9,10-epoxide",0.0178 
THAP7-AS1,vitamin D,0.0178 
XXbac-BPG246D15.8,vitamin D,0.0178 
RP11-793H13.8,iron- and aluminum-sulfate,0.0178 
AC016629.8,Retinoic Acid,0.0179 
C1RL-AS1,Retinoic Acid,0.0179 
RP11-214O1.2,adriamycin,0.0179 
RP11-452L6.5,adriamycin,0.0179 
RP11-773D16.1,Retinoic Acid,0.0179 
RP11-540O11.1,hypoxia,0.0180 
AC084219.4,drug,0.0180 
CTA-204B4.6,cocaine,0.0182 
AD000090.2,cocaine,0.0182 
ZNF518A,hypoxia,0.0183 
HCP5,Polyunsaturated fatty acids (PUFAs),0.0183 
RP11-102F4.3,hypoxia,0.0184 
TTN-AS1,hypoxia,0.0184 
AC005154.6,curcumin,0.0184 
RP11-379K17.11,curcumin,0.0184 
CTD-2116N17.1,progestin,0.0184 
JRK,opioids (morphine and heroin),0.0184 
LINC00338,progestin,0.0184 
LINC00707,anabolic stimulus,0.0184 
AC005532.5,exercise,0.0184 
AL022344.4,exercise,0.0184 
CTC-338M12.2,exercise,0.0184 
FLI1-AS1,exercise,0.0184 
MIR600HG,exercise,0.0184 
NOP14-AS1,exercise,0.0184 
RP11-1055B8.4,exercise,0.0184 
RP11-174G17.2,exercise,0.0184 
RP11-264L1.3,exercise,0.0184 
RP11-331F9.10,exercise,0.0184 
SLC38A3,exercise,0.0184 
RP11-218M22.1,cisplatin/fluorouracil (CF) ,0.0186 
SNHG16,curcumin,0.0186 
CTB-89H12.4,thyrotropin,0.0187 
CTD-2196E14.9,hypoxia,0.0187 
EPHA1-AS1,hypoxia,0.0187 
RP1-102H19.6,hypoxia,0.0187 
RP11-425M5.5,hypoxia,0.0187 
RP11-443N24.2,hypoxia,0.0187 
RP11-640M9.1,hypoxia,0.0187 
LINC00338,drug,0.0187 
AC009299.3,Arsenic trioxide,0.0188 
RP1-184J9.2,irradiation,0.0188 
RP1-265C24.9,Arsenic trioxide,0.0188 
ZNF883,Arsenic trioxide,0.0188 
RP11-379K17.4,Estradiol (E2),0.0188 
CTBP1-AS1,Retinoic Acid,0.0189 
SETD5-AS1,Retinoic Acid,0.0189 
RP5-1172N10.3,curcumin,0.0189 
AC003092.1,ionising radiation,0.0189 
AC079117.1,temozolomide,0.0189 
AC090587.2,ionising radiation,0.0189 
AC113189.5,ionising radiation,0.0189 
CTB-50E14.6,ionising radiation,0.0189 
CTD-2538C1.2,temozolomide,0.0189 
DLG1-AS1,ionising radiation,0.0189 
KIF9-AS1,ionising radiation,0.0189 
MIR497HG,ionising radiation,0.0189 
RP11-169K16.9,drug,0.0189 
RP11-18A3.4,ionising radiation,0.0189 
RP11-213H15.3,temozolomide,0.0189 
RP11-244O19.1,drug,0.0189 
RP11-2C24.4,ionising radiation,0.0189 
RP11-383C5.4,drug,0.0189 
RP11-383J24.5,ionising radiation,0.0189 
RP11-38J22.6,ionising radiation,0.0189 
RP11-461L13.3,ionising radiation,0.0189 
RP11-543D5.2,ionising radiation,0.0189 
RP11-66B24.4,ionising radiation,0.0189 
RP11-677M14.3,ionising radiation,0.0189 
RP3-486L4.3,ionising radiation,0.0189 
RP4-614O4.11,drug,0.0189 
AC005943.5,Arsenic trioxide,0.0189 
CTC-273B12.8,Arsenic trioxide,0.0189 
SLC26A4-AS1,hypoxia,0.0189 
AC105760.2,CagA,0.0189 
AC105760.2,letrozole,0.0189 
RP11-467L20.9,"Arsenic trioxide (As(2)O(3), ATO)",0.0189 
RP11-467L20.9,Chronic oxidative stress,0.0189 
RP11-467L20.9,Necitumumab,0.0189 
RP11-467L20.9,Polycyclic aromatic hydrocarbons,0.0189 
RP11-618G20.1,Ara-C,0.0189 
RP11-618G20.1,Chronic oxidative stress,0.0189 
RP11-618G20.1,cisplatin (CDDP),0.0189 
RP11-618G20.1,cytarabine,0.0189 
RP11-618G20.1,daunorubicin,0.0189 
RP11-618G20.1,Mycobacterium leprae,0.0189 
RP11-618G20.1,Necitumumab,0.0189 
RP11-618G20.1,thapsigargin-induced intracellular Ca(),0.0189 
RP11-618G20.1,vincristine (VCR),0.0189 
RP11-96D1.10,3-nitropropionic acid (3-NPA),0.0189 
RP11-96D1.10,"Arsenic trioxide (As(2)O(3), ATO)",0.0189 
RP11-96D1.10,deoxycholic acid,0.0189 
RP11-96D1.10,fulvestrant,0.0189 
RP11-96D1.10,pacitaxel,0.0189 
RP11-96D1.10,Polycyclic aromatic hydrocarbons,0.0189 
RP5-837J1.2,Chronic oxidative stress,0.0189 
RP5-837J1.2,Cyclic mechanical stress (CMS),0.0189 
RP5-837J1.2,gamma-irradiation and genotoxic drugs,0.0189 
RP5-837J1.2,methotrexate (MTX),0.0189 
RP5-837J1.2,Necitumumab,0.0189 
TRAF3IP2-AS1,"Arsenic trioxide (As(2)O(3), ATO)",0.0189 
TRAF3IP2-AS1,As2O3,0.0189 
TRAF3IP2-AS1,Polycyclic aromatic hydrocarbons,0.0189 
RP11-361F15.2,docetaxel,0.0190 
RP11-361F15.2,Imatinib,0.0190 
KCNQ1OT1,heat stress,0.0192 
LINC00661,5-aza-2'-deoxycytidine ,0.0192 
SNHG16,irradiation,0.0192 
CTD-2538C1.2,cisplatin,0.0192 
CTD-2538C1.2,cisplatin ,0.0192 
LINC00641,Epigallocatechin gallate (EGCG),0.0193 
RP11-380L11.4,adriamycin,0.0193 
RP11-496I9.1,adriamycin,0.0193 
RP11-64K12.2,Ethanol,0.0193 
RP11-618G20.1,Tamoxifen,0.0193 
AC003092.1,cigarette smoke (CS),0.0193 
AC003092.1,UV irradiation,0.0193 
AC005532.5,heat stress,0.0193 
AC058791.2,E2?182780,0.0193 
AC058791.2,ICI-182780 (Fulvestrant),0.0193 
AC058791.2,MPA486,0.0193 
AC058791.2,RU486 (Mifepristone),0.0193 
AC069277.2,heat stress,0.0193 
AC090587.2,cigarette smoke (CS),0.0193 
AC090587.2,UV irradiation,0.0193 
AC113189.5,cigarette smoke (CS),0.0193 
AC113189.5,UV irradiation,0.0193 
CTB-50E14.6,cigarette smoke (CS),0.0193 
CTB-50E14.6,UV irradiation,0.0193 
CTB-50L17.7,drug,0.0193 
CTC-338M12.2,heat stress,0.0193 
CTD-2561J22.5,hemin,0.0193 
DLG1-AS1,cigarette smoke (CS),0.0193 
DLG1-AS1,UV irradiation,0.0193 
KIF9-AS1,cigarette smoke (CS),0.0193 
KIF9-AS1,UV irradiation,0.0193 
LINC00240,E2?182780,0.0193 
LINC00240,ICI-182780 (Fulvestrant),0.0193 
LINC00240,MPA486,0.0193 
LINC00240,RU486 (Mifepristone),0.0193 
LINC00342,drug,0.0193 
LINC00630,hemin,0.0193 
MIR497HG,cigarette smoke (CS),0.0193 
MIR497HG,UV irradiation,0.0193 
NOP14-AS1,heat stress,0.0193 
RP11-115C21.2,drug,0.0193 
RP11-174G17.2,heat stress,0.0193 
RP11-18A3.4,cigarette smoke (CS),0.0193 
RP11-18A3.4,UV irradiation,0.0193 
RP11-264L1.3,heat stress,0.0193 
RP11-2C24.4,cigarette smoke (CS),0.0193 
RP11-2C24.4,UV irradiation,0.0193 
RP11-383J24.5,cigarette smoke (CS),0.0193 
RP11-383J24.5,UV irradiation,0.0193 
RP11-38J22.6,cigarette smoke (CS),0.0193 
RP11-38J22.6,UV irradiation,0.0193 
RP11-418J17.1,drug,0.0193 
RP11-452F19.3,E2?182780,0.0193 
RP11-452F19.3,ICI-182780 (Fulvestrant),0.0193 
RP11-452F19.3,MPA486,0.0193 
RP11-452F19.3,RU486 (Mifepristone),0.0193 
RP11-461L13.3,cigarette smoke (CS),0.0193 
RP11-461L13.3,UV irradiation,0.0193 
RP11-543D5.2,cigarette smoke (CS),0.0193 
RP11-543D5.2,UV irradiation,0.0193 
RP11-66B24.4,cigarette smoke (CS),0.0193 
RP11-66B24.4,UV irradiation,0.0193 
RP11-677M14.3,cigarette smoke (CS),0.0193 
RP11-677M14.3,UV irradiation,0.0193 
RP11-869B15.1,UV irradiation,0.0193 
RP3-486L4.3,cigarette smoke (CS),0.0193 
RP3-486L4.3,UV irradiation,0.0193 
RP5-1061H20.4,hemin,0.0193 
RP11-473I1.10,curcumin,0.0194 
COX10-AS1,anabolic stimulus,0.0195 
LINC00094,5-FU,0.0195 
RP11-403I13.4,anabolic stimulus,0.0195 
PVT1,tobacco,0.0195 
RP11-315C6.3,Imatinib,0.0195 
SNHG12,docetaxel,0.0195 
SNHG7,Imatinib,0.0195 
SPPL2B,HIV,0.0195 
AC004696.2,Arsenic,0.0195 
AC009133.15,Arsenic,0.0195 
CTB-102L5.7,curcumin,0.0195 
CTD-2319I12.1,Arsenic,0.0195 
PCBP1-AS1,nutlin-3a,0.0195 
RP11-106M3.2,cytomegalovirus,0.0195 
RP11-106M3.2,hepatitis B virus (HBV),0.0195 
RP11-106M3.2,Oltipraz,0.0195 
RP11-108M9.3,curcumin,0.0195 
RP11-169K16.9,nicotine,0.0195 
RP11-218M22.1,nicotine,0.0195 
RP11-244O19.1,nicotine,0.0195 
RP11-284N8.3,nutlin-3a,0.0195 
RP11-305N23.1,Interleukin (IL)-12,0.0195 
RP11-316M1.11,curcumin,0.0195 
RP11-383C5.4,nicotine,0.0195 
RP11-727A23.5,cetuximab (Caco-2 and HCT-116),0.0195 
RP4-614O4.11,nicotine,0.0195 
RP4-614O4.11,vincristine,0.0195 
RP5-1120P11.1,Arsenic,0.0195 
RP5-875O13.1,curcumin,0.0195 
TTTY15,cetuximab (Caco-2 and HCT-116),0.0195 
AC084018.1,the combination carboplatin/cisplatin with paclitaxel,0.0195 
RP11-54O7.1,lithium,0.0195 
RP11-214O1.2,H2O2,0.0195 
RP11-452L6.5,H2O2,0.0195 
LEMD1-AS1,gemcitabine,0.0196 
CTC-273B12.6,gefitinib,0.0197 
CTD-3195I5.1,opioids (morphine and heroin),0.0197 
IQCH-AS1,Listerial,0.0197 
LINC00205,resistance exercise,0.0197 
LINC00205,Trastuzumab,0.0197 
LINC00689,5-aza-2'-deoxycytidine (5-Aza-dC) and trichostatin A (TSA),0.0197 
RP11-276H19.1,5-aza-2'-deoxycytidine (5-Aza-dC) and trichostatin A (TSA),0.0197 
RP11-282O18.3,resistance exercise,0.0197 
RP11-298I3.1,opioids (morphine and heroin),0.0197 
RP11-413E6.8,gefitinib,0.0197 
WASIR2,resistance exercise,0.0197 
WASIR2,Trastuzumab,0.0197 
CROCCP2,doxorubicin (Dox),0.0197 
TTN-AS1,doxorubicin (Dox),0.0197 
MAL2,temozolomide,0.0198 
RP11-284N8.3,5-fluorouracil (5-FU),0.0198 
RP4-671G15.3,paclitaxel,0.0198 
TEN1-CDK3,paclitaxel,0.0198 
AC096772.6, 5-Aza,0.0198 
AC096772.6,Camptothecin (CPT),0.0198 
AC096772.6,interleukin-6 (IL-6),0.0198 
CTC-503J8.6,aminoglycoside,0.0198 
CTC-503J8.6,phenylbutyric acid (PBA),0.0198 
LINC00176,"Arsenic trioxide (As(2)O(3), ATO)",0.0198 
LINC00176,As2O3,0.0198 
LINC00176,Polycyclic aromatic hydrocarbons,0.0198 
RP11-264B17.3,letrozole,0.0198 
RP11-701H24.2,CagA,0.0198 
RP1-5O6.6,3-nitropropionic acid (3-NPA),0.0198 
RP1-5O6.6,aminoglycoside,0.0198 
RP1-5O6.6,deoxycholic acid,0.0198 
RP1-5O6.6,Isoflavone,0.0198 
RP1-5O6.6,pacitaxel,0.0198 
RP1-5O6.6,phenylbutyric acid (PBA),0.0198 
RP5-1180C10.2,Ara-C,0.0198 
RP5-1180C10.2,"Arsenic trioxide (As(2)O(3), ATO)",0.0198 
RP5-1180C10.2,cisplatin (CDDP),0.0198 
RP5-1180C10.2,daunorubicin,0.0198 
RP5-1180C10.2,Mycobacterium leprae,0.0198 
RP5-1180C10.2,Polycyclic aromatic hydrocarbons,0.0198 
RP5-1180C10.2,thapsigargin-induced intracellular Ca(),0.0198 
RP5-1180C10.2,vincristine (VCR),0.0198 
ZNF718,CagA,0.0198 
PSMD6-AS2,exercise,0.0200 
RP11-355O1.11,drug,0.0200 
HOXA11-AS,irradiation,0.0202 
MAL2,irradiation,0.0202 
RP11-588K22.2,irradiation,0.0202 
RP4-773N10.5,thyrotropin,0.0203 
HOTAIR,anabolic stimulus,0.0209 
RP11-277L2.2,anabolic stimulus,0.0209 
CTB-89H12.4,Polyunsaturated fatty acids (PUFAs),0.0211 
SPPL2B,hypoxia,0.0211 
SNHG16,Etoposide,0.0212 
RP11-361F15.2,thyrotropin,0.0212 
AC005154.5,Retinoic Acid,0.0212 
ERI3-IT1,Retinoic Acid,0.0212 
RP11-277P12.20,adriamycin,0.0212 
RP11-457M11.2,adriamycin,0.0212 
RP11-498P14.3,adriamycin,0.0212 
RP11-506M13.3,Retinoic Acid,0.0212 
RP1-283E3.8,Retinoic Acid,0.0212 
RP3-341D10.4,Retinoic Acid,0.0212 
XXbac-BPG300A18.13,adriamycin,0.0212 
RP11-197N18.2,metformin,0.0212 
AP000721.4,cisplatin/fluorouracil (CF) ,0.0213 
